"","timestamp","month","sentiment","html"
"321",2015-05-18,2015-05-01,0,"hello twitter it's barack really six years in they're finally giving me my own account"
"320",2015-05-18,2015-05-01,2,"in camden today seeing first-hand how <span class=""sentiment1"">smart</span> policing is making the community safer while building <span class=""sentiment1"">trust</span> http//tco/3miwk43c8g"
"319",2015-05-18,2015-05-01,5,"<span class=""sentiment3"">good</span> question @billclinton the handle comes with the house know anyone <span class=""sentiment2"">interested</span> in @flotus"
"318",2015-05-20,2015-05-01,9,"an <span class=""sentiment2"">honor</span> to address the coast guard class of 2015 <span class=""sentiment2"">confident</span> they'll <span class=""sentiment2"">help</span> us meet <span class=""sentiment1"">big</span> challenges <span class=""sentiment2"">like</span> climate change http//tco/1z4ftea1yj"
"317",2015-05-22,2015-05-01,3,"@rebsteve really enjoyed <span class=""sentiment-1"">stopping</span> by today i had <span class=""sentiment4"">fun</span> singing shabbat shalom with the prek class downstairs too http//tco/6b8crxsgmt"
"316",2015-05-22,2015-05-01,3,"@drfahmida tell your niece i really <span class=""sentiment2"">like</span> her letter couldn't <span class=""sentiment1"">agree</span> more"
"315",2015-05-25,2015-05-01,2,"spent the morning at arlington take time today to <span class=""sentiment2"">honor</span> our <span class=""sentiment-2"">fallen</span> <span class=""sentiment2"">heroes</span> we're forever indebted to their families http//tco/hchhhovcs3"
"314",2015-05-28,2015-05-01,0,"just got a hurricane preparedness briefing in miami acting on climate change is critical got climate qs i'll answer at 1pm et #askpotus"
"313",2015-05-28,2015-05-01,0,"ready to answer your questions on climate change let's do this #askpotus http//tco/5krib5jl6s"
"312",2015-05-28,2015-05-01,0,"@calebmegajew the science is overwhelming but what will move congress will be public opinion your voices will make them open to facts"
"311",2015-05-28,2015-05-01,0,"@bigbennyfl 1/ we've shut off drilling in the most sensitive arctic areas including bristol bay"
"310",2015-05-28,2015-05-01,0,"@bigbennyfl 2/ but since we can't <span class=""sentiment-1"">prevent</span> oil <span class=""sentiment1"">exploration</span> completely in region we're setting the highest possible standards"
"309",2015-05-28,2015-05-01,-3,"@bigbennyfl 3/ already <span class=""sentiment-1"">rejected</span> shell's original proposal as <span class=""sentiment-2"">inadequate</span> which shows we're serious"
"308",2015-05-28,2015-05-01,-2,"@drock89 as @pontifex and other religious leaders have stated we have a moral obligation to the most <span class=""sentiment-2"">vulnerable</span> and the next generation"
"307",2015-05-28,2015-05-01,0,"@gkermmm 1/ tpp is still being negotiated but legislation requires the full text for 60 days before i sign"
